[22:26:55] upd 159/200 | 0.53s | steps=8192 | loss=0.0859 pi=-0.0183 v=0.2010 ent=0.7870 | frontier=on
[22:26:56] upd 160/200 | 0.54s | steps=8192 | loss=0.1087 pi=0.0115 v=0.1872 ent=0.8005 | frontier=on
[22:26:56] upd 161/200 | 0.53s | steps=8192 | loss=0.0722 pi=-0.0362 v=0.2100 ent=0.7842 | frontier=on
[22:26:57] upd 162/200 | 0.53s | steps=8192 | loss=0.0824 pi=-0.0218 v=0.2012 ent=0.7880 | frontier=on
[22:26:57] upd 163/200 | 0.53s | steps=8192 | loss=0.0808 pi=-0.0262 v=0.2067 ent=0.7770 | frontier=on
[22:26:58] upd 164/200 | 0.53s | steps=8192 | loss=0.1089 pi=0.0088 v=0.1932 ent=0.7861 | frontier=on
[22:26:58] upd 165/200 | 0.53s | steps=8192 | loss=0.0801 pi=-0.0254 v=0.2044 ent=0.7849 | frontier=on
[22:26:59] upd 166/200 | 0.53s | steps=8192 | loss=0.1131 pi=0.0179 v=0.1830 ent=0.7823 | frontier=on
[22:26:59] upd 167/200 | 0.53s | steps=8192 | loss=0.0925 pi=-0.0044 v=0.1868 ent=0.7766 | frontier=on
[22:27:00] upd 168/200 | 0.53s | steps=8192 | loss=0.0684 pi=-0.0394 v=0.2088 ent=0.7758 | frontier=on
[22:27:01] upd 169/200 | 0.53s | steps=8192 | loss=0.1077 pi=0.0077 v=0.1927 ent=0.7794 | frontier=on
[22:27:01] upd 170/200 | 0.53s | steps=8192 | loss=0.0940 pi=-0.0155 v=0.2123 ent=0.7779 | frontier=on
[22:27:02] upd 171/200 | 0.53s | steps=8192 | loss=0.1058 pi=0.0046 v=0.1951 ent=0.7758 | frontier=on
[22:27:02] upd 172/200 | 0.53s | steps=8192 | loss=0.0818 pi=-0.0257 v=0.2079 ent=0.7819 | frontier=on
[22:27:03] upd 173/200 | 0.53s | steps=8192 | loss=0.1065 pi=-0.0056 v=0.2173 ent=0.7704 | frontier=on
[22:27:03] upd 174/200 | 0.53s | steps=8192 | loss=0.1108 pi=-0.0034 v=0.2217 ent=0.7768 | frontier=on
[22:27:04] upd 175/200 | 0.53s | steps=8192 | loss=0.1375 pi=0.0301 v=0.2078 ent=0.7699 | frontier=on
[22:27:04] upd 176/200 | 0.53s | steps=8192 | loss=0.0907 pi=-0.0145 v=0.2031 ent=0.7747 | frontier=on
[22:27:05] upd 177/200 | 0.52s | steps=8192 | loss=0.0815 pi=-0.0256 v=0.2072 ent=0.7850 | frontier=on
[22:27:05] upd 178/200 | 0.52s | steps=8192 | loss=0.1006 pi=-0.0117 v=0.2176 ent=0.7769 | frontier=on
[22:27:06] upd 179/200 | 0.53s | steps=8192 | loss=0.1309 pi=0.0204 v=0.2143 ent=0.7714 | frontier=on
[22:27:06] upd 180/200 | 0.52s | steps=8192 | loss=0.0867 pi=-0.0230 v=0.2119 ent=0.7758 | frontier=on
[22:27:07] upd 181/200 | 0.53s | steps=8192 | loss=0.1414 pi=0.0351 v=0.2053 ent=0.7641 | frontier=on
[22:27:07] upd 182/200 | 0.53s | steps=8192 | loss=0.1060 pi=0.0028 v=0.1988 ent=0.7589 | frontier=on
[22:27:08] upd 183/200 | 0.53s | steps=8192 | loss=0.0920 pi=-0.0118 v=0.2000 ent=0.7694 | frontier=on
[22:27:08] upd 184/200 | 0.53s | steps=8192 | loss=0.1012 pi=-0.0067 v=0.2089 ent=0.7849 | frontier=on
[22:27:09] upd 185/200 | 0.52s | steps=8192 | loss=0.1026 pi=-0.0064 v=0.2107 ent=0.7755 | frontier=on
[22:27:10] upd 186/200 | 0.53s | steps=8192 | loss=0.1417 pi=0.0429 v=0.1904 ent=0.7704 | frontier=on
[22:27:10] upd 187/200 | 0.53s | steps=8192 | loss=0.0619 pi=-0.0441 v=0.2050 ent=0.7872 | frontier=on
[22:27:11] upd 188/200 | 0.53s | steps=8192 | loss=0.0800 pi=-0.0334 v=0.2195 ent=0.7810 | frontier=on
[22:27:11] upd 189/200 | 0.52s | steps=8192 | loss=0.1569 pi=0.0556 v=0.1951 ent=0.7823 | frontier=on
[22:27:12] upd 190/200 | 0.53s | steps=8192 | loss=0.1043 pi=-0.0069 v=0.2155 ent=0.7838 | frontier=on
[22:27:12] upd 191/200 | 0.52s | steps=8192 | loss=0.0647 pi=-0.0546 v=0.2316 ent=0.7859 | frontier=on
[22:27:13] upd 192/200 | 0.52s | steps=8192 | loss=0.1603 pi=0.0605 v=0.1928 ent=0.7863 | frontier=on
[22:27:13] upd 193/200 | 0.52s | steps=8192 | loss=0.1082 pi=-0.0043 v=0.2179 ent=0.7769 | frontier=on
[22:27:14] upd 194/200 | 0.52s | steps=8192 | loss=0.1216 pi=0.0160 v=0.2040 ent=0.7850 | frontier=on
[22:27:14] upd 195/200 | 0.52s | steps=8192 | loss=0.1164 pi=0.0105 v=0.2047 ent=0.7780 | frontier=on
[22:27:15] upd 196/200 | 0.52s | steps=8192 | loss=0.1093 pi=-0.0012 v=0.2139 ent=0.7592 | frontier=on
[22:27:15] upd 197/200 | 0.53s | steps=8192 | loss=0.0947 pi=-0.0133 v=0.2084 ent=0.7818 | frontier=on
[22:27:16] upd 198/200 | 0.53s | steps=8192 | loss=0.1064 pi=0.0038 v=0.1980 ent=0.7865 | frontier=on
[22:27:16] upd 199/200 | 0.53s | steps=8192 | loss=0.1130 pi=0.0059 v=0.2074 ent=0.7792 | frontier=on
[22:27:17] upd 200/200 | 0.52s | steps=8192 | loss=0.0839 pi=-0.0304 v=0.2217 ent=0.7883 | frontier=on
[22:27:17] Wrote runs/ppo_tiny_scratch/train_metrics.csv
[22:27:18] Wrote summary.json: {'checkpoint': 'ckpt_200.pt', 'reveal_only': {'win_rate': 0.140625, 'avg_steps': 5.515625, 'avg_progress': 0.0, 'invalid_rate': 0.0}, 'full': {'win_rate': 0.046875, 'avg_steps': 187.21875, 'avg_progress': 0.0, 'invalid_rate': 0.0}}
